index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_50m
4752,,De Pijp - Rivierenbuurt,52.35813,4.90221,Private room,51,1,24,6.32,9,353,24,holland,"[{""name"": ""Paul & Ninette Vinotheque"", ""amenity"": ""cafe"", ""cuisine"": ""breakfast;lunch""}, {""name"": ""MAX Hotel"", ""tourism"": ""hotel""}, {""name"": ""Galya Gisca Tattoo"", ""shop"": ""tattoo""}, {""name"": ""Brow Atelier"", ""shop"": ""beauty""}]"
4754,,De Pijp - Rivierenbuurt,52.35813,4.90221,Private room,51,1,17,2.51,9,329,17,holland,"[{""name"": ""Paul & Ninette Vinotheque"", ""amenity"": ""cafe"", ""cuisine"": ""breakfast;lunch""}, {""name"": ""MAX Hotel"", ""tourism"": ""hotel""}, {""name"": ""Galya Gisca Tattoo"", ""shop"": ""tattoo""}, {""name"": ""Brow Atelier"", ""shop"": ""beauty""}]"
4757,,Oud-Oost,52.35922,4.92539,Entire home/apt,177,1,13,2.09,6,298,13,holland,"[{""leisure"": ""garden""}, {""name"": ""Dental Care East & West"", ""amenity"": ""dentist""}, {""name"": ""Cornea Optiek"", ""shop"": ""optician""}, {""name"": ""Avondverkoop"", ""shop"": ""deli""}, {""name"": ""All The Luck In The World"", ""shop"": ""interior_decoration""}, {""name"": ""Mister Chen Cha House"", ""amenity"": ""restaurant"", ""cuisine"": ""chinese""}, {""name"": ""Poké Perfect"", ""amenity"": ""restaurant""}, {""name"": ""Hallo"", ""amenity"": ""fast_food"", ""cuisine"": ""friture""}, {""name"": ""Linnaeusstraat Massage"", ""shop"": ""massage""}]"
4759,,Centrum-Oost,52.36315,4.90779,Entire home/apt,158,7,1,0.16,6,267,1,holland,"[{""name"": ""Concern Congres Centrum"", ""amenity"": ""community_centre""}]"
4777,,Centrum-West,52.3789,4.88378,Entire home/apt,188,7,1,0.15,3,241,1,holland,"[{""name"": ""Lapjesmarkt"", ""amenity"": ""marketplace""}, {""amenity"": ""public_bookcase""}, {""name"": ""La Reinita Empanadas"", ""amenity"": ""restaurant"", ""cuisine"": ""argentinian;empanada""}, {""name"": ""Pianola Museum"", ""tourism"": ""museum""}, {""name"": ""Jumbo"", ""shop"": ""supermarket""}, {""name"": ""Sins of Sal"", ""amenity"": ""restaurant""}, {""name"": ""Jumbo"", ""shop"": ""florist""}, {""name"": ""Schout bij-nacht"", ""amenity"": ""restaurant""}, {""name"": ""Kilo"", ""shop"": ""furniture""}, {""name"": ""The Browbarber"", ""shop"": ""beauty""}, {""name"": ""Vivant de Jordaan"", ""shop"": ""kiosk""}]"
4799,,Centrum-West,52.37888,4.89217,Private room,271,1,0,,5,0,0,holland,"[{""name"": ""Herengracht 21"", ""tourism"": ""guest_house""}, {""name"": ""Max Brown Hotel"", ""tourism"": ""hotel""}]"
4802,,Centrum-West,52.37888,4.89217,Private room,161,1,30,3.77,5,0,30,holland,"[{""name"": ""Herengracht 21"", ""tourism"": ""guest_house""}, {""name"": ""Max Brown Hotel"", ""tourism"": ""hotel""}]"
4803,,Centrum-West,52.37888,4.89217,Hotel room,171,1,0,,5,0,0,holland,"[{""name"": ""Herengracht 21"", ""tourism"": ""guest_house""}, {""name"": ""Max Brown Hotel"", ""tourism"": ""hotel""}]"
4817,,Westerpark,52.38079,4.87371,Entire home/apt,133,4,0,,1,0,0,holland,"[{""leisure"": ""garden""}, {""leisure"": ""picnic_table""}]"
4823,,Watergraafsmeer,52.35217,4.92153,Private room,166,2,7,2.04,6,345,7,holland,"[{""leisure"": ""garden""}]"
